Neighborhood,Latitude,Longitude
Abidnagar,17.73786000000007,83.29888000000005
Adarsh Nagar,17.763910000000067,83.33169000000004
Adavivaram,17.785830000000033,83.25242000000009
Aganampudi,17.689040000000034,83.13988000000006
Akkayyapalem,17.734210000000076,83.29713000000004
Akkireddypalem,17.708720000000028,83.20904000000007
Allipuram,17.720270000000028,83.29758000000004
Anakapalle,17.68984000000006,83.00175000000007
Anandapuram,17.877720000000068,83.30459000000008
Appikonda,17.596290000000067,83.20243000000005
Arilova,17.768430000000023,83.31107000000003
Asilmetta,17.72276000000005,83.31078000000008
Atchutapuram,17.565500000000043,82.98174000000006
Balayya Sastri Layout,17.743340000000046,83.31052000000005
"Beach Road, Visakhapatnam",17.812513400301874,83.40788937588022
Bheemunipatnam,17.889350000000036,83.45037000000008
BHPV,17.70595000000003,83.19796000000008
CBM Compound,17.72477000845818,83.30994999190324
Chengal Rao Peta,17.693350000000066,83.29211000000004
Chinagantyada,17.681190000000072,83.19786000000005
Chinna Gadhili,17.719840000000033,83.26278000000008
Chinna Waltair,17.726720000000057,83.33061000000004
Chinnamushidiwada,17.80147000000005,83.22367000000008
Chintalagraharam,17.873140000000035,82.18573000000004
Daba Gardens,17.718530000000044,83.30433000000005
Daspalla Hills,17.71819126233129,83.31706861998528
Desapatrunipalem,17.638420000000053,83.11695000000003
Devada,17.614050000000077,83.16261000000003
Devipuram,17.763900000000035,83.09071000000006
Dondaparthy,17.72661000000005,83.29744000000005
Duvvada,17.708630000000028,83.16466000000008
Dwaraka Nagar,17.735790000000065,83.30378000000007
Gajuwaka,17.68083000000007,83.20209000000006
Gambhiram,17.869330000000048,83.36847000000006
"Gandhigram, Visakhapatnam",17.68727000000007,83.26364000000007
"Gangavaram, Visakhapatnam",17.64363000000003,83.22780000000006
Gidijala,17.886450000000025,83.30524000000008
Gnanapuram,17.73362000000003,83.27503000000007
Gopalapatnam,17.745570000000043,83.22813000000008
Gudilova,17.398330000000044,82.79104000000007
Hanumanthavaka,17.75524698157045,83.33243262128617
HB Colony,17.745270000000062,83.32324000000006
Isukathota,17.74201000000005,83.32677000000007
Jagadamba Centre,17.71584000000007,83.30750000000006
Jalari Peta,17.700270000000046,83.30373000000003
Jodugullapalem,17.752040000000022,83.34995000000004
"Kailasapuram, Visakhapatnam",17.741220000000055,83.29099000000008
Kakani Nagar,17.736410000000035,83.23139000000003
Kancharapalem,17.736460000000022,83.26501000000007
Kapuluppada,17.819390000000055,83.37310000000008
